No;Zeit;Intervall(mi);innen Luftfeuchtigkeit(%);innen Temperatur(°C);außen Luftfeuchtigkeit(%);außen Temperatur(°C);absolut Luftdruck(Hpa);Wind(m/s);Windbö"(m/s);Richtung;relative Luftdruck(Hpa);Taupunkt(°C);Windauskühlung(°C);Stunde Niederschlag(mm);24 Stunde Niederschlag(mm);Woche Niederschlag(mm);Monat Niederschlag(mm);Total Niederschlag(mm);Wind Level(bft);Windbö Level(bft)
90;08-01-2015 06:27;30;41;18.6;87;1.6;996.7;0.0;0.7;SW;1030.8;-0.3;1.6;0.3;0.9;0.9;0.9;0.9;0;1
91;08-01-2015 06:57;30;41;18.6;89;1.8;996.6;0.3;1.7;N;1030.7;0.2;1.8;0.3;0.9;0.9;0.9;0.9;1;2
92;08-01-2015 07:27;30;41;18.6;90;1.9;996.5;0.0;0.7;N;1030.6;0.4;1.9;0.6;1.5;1.5;1.5;1.5;0;1
93;08-01-2015 07:57;30;41;18.7;91;2.2;996.4;0.7;1.4;NW;1030.5;0.9;2.2;0.9;1.8;1.8;1.8;1.8;1;1
94;08-01-2015 08:27;30;41;18.7;91;2.4;996.1;0.7;1.4;SW;1030.2;1.1;2.4;0.3;1.8;1.8;1.8;1.8;1;1
95;08-01-2015 08:57;30;41;18.7;92;2.7;996.3;1.4;2.0;S;1030.4;1.5;2.7;0.3;2.1;2.1;2.1;2.1;1;2
96;08-01-2015 09:27;30;41;18.7;92;2.8;996.4;1.0;1.7;SE;1030.5;1.6;2.8;0.9;2.7;2.7;2.7;2.7;1;2
97;08-01-2015 09:57;30;41;18.7;96;3.0;996.1;0.7;1.4;SW;1030.2;2.4;3.0;0.9;2.7;3.0;3.0;3.0;1;1
98;08-01-2015 10:27;30;41;18.6;97;3.3;995.8;1.4;2.0;NW;1029.9;2.9;3.3;0.3;2.7;3.0;3.0;3.0;1;2
99;08-01-2015 10:57;30;41;18.6;97;3.8;995.5;1.0;2.4;SW;1029.6;3.4;3.8;0.0;2.4;3.0;3.0;3.0;1;2
100;08-01-2015 11:27;30;42;18.8;96;4.3;995.3;0.7;1.4;SW;1029.4;3.7;4.3;0.3;2.7;3.3;3.3;3.3;1;1
101;08-01-2015 11:57;30;42;18.8;96;4.8;994.8;1.0;2.7;S;1028.9;4.2;4.8;0.3;2.7;3.3;3.3;3.3;1;2
102;08-01-2015 12:27;30;42;18.8;95;5.2;994.4;1.4;2.7;W;1028.5;4.5;5.2;0.0;2.7;3.3;3.3;3.3;1;2
103;08-01-2015 12:57;30;42;18.9;94;5.2;994.0;1.4;2.0;SWW;1028.1;4.3;5.2;0.0;2.7;3.3;3.3;3.3;1;2
104;08-01-2015 13:27;30;42;18.9;94;5.2;993.5;1.4;2.4;W;1027.6;4.3;5.2;0.0;2.7;3.3;3.3;3.3;1;2
105;08-01-2015 13:57;30;42;18.9;94;5.2;992.9;0.7;1.4;SE;1027.0;4.3;5.2;0.6;3.3;3.9;3.9;3.9;1;1
106;08-01-2015 14:27;30;42;18.9;95;5.4;992.3;0.7;1.7;SW;1026.4;4.7;5.4;1.5;4.2;4.8;4.8;4.8;1;2
107;08-01-2015 14:57;30;41;19.0;96;5.7;992.0;0.7;1.4;N;1026.1;5.1;5.7;0.9;4.2;4.8;4.8;4.8;1;1
108;08-01-2015 15:27;30;42;18.8;95;6.2;991.5;1.4;2.0;SW;1025.6;5.5;6.2;0.0;4.2;4.8;4.8;4.8;1;2
109;08-01-2015 15:57;30;42;18.8;95;6.8;991.1;1.7;3.1;W;1025.2;6.1;6.8;0.3;4.5;5.1;5.1;5.1;2;2
110;08-01-2015 16:27;30;43;18.8;94;6.9;990.8;1.0;1.4;SSE;1024.9;6.0;6.9;0.3;4.5;5.1;5.1;5.1;1;1
111;08-01-2015 16:57;30;44;18.8;95;6.8;991.0;2.0;3.4;NWW;1025.1;6.1;5.5;0.3;4.8;5.4;5.4;5.4;2;3
112;08-01-2015 17:27;30;44;18.9;95;6.8;991.1;0.7;1.4;NNE;1025.2;6.1;6.8;0.9;5.4;6.0;6.0;6.0;1;1
113;08-01-2015 17:57;30;43;19.0;95;6.8;991.0;0.7;1.7;SW;1025.1;6.1;6.8;0.9;5.7;6.3;6.3;6.3;1;2
114;08-01-2015 18:27;30;43;19.1;96;6.9;990.4;1.7;3.7;SWW;1024.5;6.3;6.9;1.5;6.9;7.5;7.5;7.5;2;3
115;08-01-2015 18:57;30;43;19.1;95;7.0;990.4;0.7;1.7;NNE;1024.5;6.3;7.0;2.1;7.8;8.4;8.4;8.4;1;2
116;08-01-2015 19:27;30;42;19.2;95;7.0;990.6;1.4;3.4;S;1024.7;6.3;7.0;2.1;9.0;9.6;9.6;9.6;1;3
117;08-01-2015 19:57;30;42;19.2;96;7.3;991.2;2.0;2.7;NNW;1025.3;6.7;6.0;2.1;9.9;10.5;10.5;10.5;2;2
118;08-01-2015 20:27;30;42;19.1;87;6.5;992.8;4.1;5.1;NWW;1026.9;4.5;1.0;0.9;9.9;10.5;10.5;10.5;3;3
119;08-01-2015 20:57;30;44;19.2;87;5.7;994.7;5.1;8.5;NW;1028.8;3.7;-1.4;0.0;9.9;10.5;10.5;10.5;3;5
120;08-01-2015 21:27;30;44;19.2;90;5.1;996.2;3.7;5.4;W;1030.3;3.6;0.0;0.0;9.9;10.5;10.5;10.5;3;3
